block_code,latitude,longitude,Skill_Score
Z91B163,25.158438,51.515394,2.19
Z91B153,25.148916,51.514046,2.19
Z91B162,25.15801,51.518686,2.21
Z91B078,25.17048,51.533291,2.2
Z91B027,25.192209,51.580882,2.15
Z91B025,25.191279,51.577787,2.17
Z73B054,25.707877,51.019979,2.29
Z66B076,25.367745,51.55351,2.33
Z55B132,25.243582,51.439903,2.24
Z55B110,25.250511,51.456017,2.22
Z55B116,25.251564,51.4447,2.2
Z71B043,25.414958,51.351454,2.3
Z71B035,25.390328,51.35632,2.16
Z96B018,24.909703,50.980884,2.17
Z90B093,25.15367,51.59573,2.21
Z90B094,25.153194,51.597946,2.17
Z53B197,25.255477,51.351177,2.21
Z73B036,25.630807,51.081756,2.2
Z90B103,25.156485,51.598009,2.21
Z90B113,25.159702,51.593981,2.21
Z90B114,25.158374,51.595963,2.19
Z90B118,25.158371,51.598193,2.18
Z90B115,25.16136,51.595342,2.2
Z71B187,25.415093,51.397959,2.22
Z71B181,25.415699,51.393128,2.17
Z91B143,25.14881,51.549279,2.2
Z91B142,25.143392,51.550197,2.23
Z56B137,25.232145,51.484178,2.19
Z56B143,25.224946,51.482275,2.2
Z56B140,25.230642,51.481399,2.23
Z82B041,25.236123,51.285326,2.38
Z42B050,25.264325,51.551415,2.2
Z42B048,25.263406,51.549797,2.22
Z42B007,25.262375,51.544984,2.18
Z42B045,25.258455,51.55125,2.05
Z42B036,25.259613,51.547567,2.17
Z33B026,25.329999,51.495048,2.2
Z33B032,25.320468,51.495968,2.23
Z91B073,25.175999,51.542862,2.18
Z91B072,25.17959,51.543093,2.16
Z91B074,25.173431,51.542871,1.86
Z91B075,25.174367,51.537697,2.17
Z14B039,25.277115,51.521445,2.18
Z50B018,25.214377,51.549807,2.18
Z51B251,25.36392,51.337099,2.37
Z42B025,25.256166,51.544241,2.22
Z42B026,25.256984,51.543624,2.34
Z42B022,25.255759,51.538517,2.22
Z65B009,25.331645,51.511456,2.16
Z91B267,25.088052,51.515246,2.35
Z91B269,25.088795,51.506724,2.04
Z91B274,25.111602,51.493625,2.19
Z42B032,25.256124,51.546908,2.11
Z66B047,25.376154,51.549462,2.18
Z55B147,25.234605,51.432842,2.2
Z55B144,25.236243,51.434037,2.18
Z55B146,25.232436,51.435551,2.21
Z55B155,25.23026,51.435559,2.16
Z55B158,25.227605,51.429918,2.22
Z55B163,25.232447,51.430634,2.19
Z55B161,25.232349,51.425915,2.16
Z55B181,25.237781,51.40818,2.08
Z55B180,25.237974,51.41416,2.08
Z71B045,25.415652,51.344607,2.22
Z71B206,25.409952,51.409946,2.18
Z54B044,25.286238,51.457946,2.21
Z55B088,25.249604,51.467355,2.21
Z56B119,25.220803,51.452136,2.18
Z56B122,25.221672,51.459462,2.18
Z53B025,25.292621,51.425771,2.23
Z56B075,25.234621,51.466287,2.2
Z82B028,25.200268,51.103948,2.55
Z90B004,25.192344,51.603925,2.19
Z90B013,25.186043,51.615032,2.2
Z90B012,25.188716,51.614705,2.12
Z90B139,25.168139,51.592879,2.19
Z90B137,25.170004,51.596297,2.19
Z90B132,25.166306,51.593975,2.18
Z90B112,25.161546,51.591812,2.2
Z90B111,25.158075,51.592935,2.23
Z66B043,25.378742,51.54471,2.14
Z96B026,24.833805,51.075131,2.24
Z42B004,25.266211,51.548915,2.05
Z42B002,25.265947,51.55015,2.13
Z91B077,25.175127,51.533346,2.25
Z91B076,25.177636,51.537977,2.26
Z71B036,25.396076,51.35713,2.24
Z71B327,25.371057,51.403858,2.33
Z33B029,25.324871,51.497332,2.19
Z82B088,25.139499,51.218538,2.17
Z82B090,25.140237,51.212644,2.29
Z46B036,25.222782,51.535858,2.0
Z46B008,25.234134,51.537851,2.18
Z81B009,25.190654,51.380418,2.2
Z81B011,25.186829,51.378265,2.23
Z82B062,25.176069,51.299293,2.28
Z24B018,25.272572,51.522225,2.13
Z30B011,25.354526,51.468286,2.14
Z50B002,25.226688,51.570182,2.21
Z50B005,25.217207,51.570623,1.0
Z50B003,25.223136,51.57479,2.14
Z91B231,25.068492,51.478159,2.17
Z91B244,25.077125,51.489866,2.23
Z84B025,25.107079,50.9642,2.18
Z90B047,25.143892,51.601188,2.16
Z90B041,25.14493,51.614323,2.21
Z50B019,25.217001,51.548819,2.43
Z85B010,25.447092,50.948512,2.19
Z66B084,25.365319,51.545726,2.04
Z66B083,25.364832,51.544007,2.4
Z54B022,25.287318,51.448609,2.32
Z54B005,25.290989,51.460213,2.25
Z73B081,25.603202,51.06517,2.0
Z70B239,25.421493,51.476279,2.27
Z70B207,25.417041,51.436655,2.17
Z74B999,25.688082,51.516867,2.12
Z74B155,25.681119,51.494502,2.2
Z74B109,25.713198,51.492592,2.58
Z74B104,25.710443,51.504101,2.27
Z74B097,25.713855,51.506533,2.15
Z74B102,25.714982,51.501031,2.16
Z74B108,25.715316,51.495751,2.2
Z74B106,25.711794,51.49954,2.19
Z79B009,26.141102,51.212783,2.18
Z77B004,26.001642,51.360925,2.21
Z79B022,26.134715,51.192471,1.97
Z79B019,26.129702,51.208354,2.19
Z79B017,26.131027,51.2146,2.21
Z79B004,26.134216,51.222937,2.16
Z79B006,26.135728,51.219035,2.2
Z70B303,25.375999,51.464183,2.2
Z70B304,25.379872,51.463029,2.13
Z70B213,25.418075,51.425328,2.16
Z70B062,25.550248,51.43219,2.19
Z70B310,25.37833,51.468048,2.2
Z70B302,25.378544,51.460611,2.2
Z70B144,25.457063,51.41381,2.22
Z82B063,25.176031,51.29445,2.23
Z07B010,25.288075,51.536512,2.13
Z60B017,25.305094,51.516312,2.22
Z55B290,25.234367,51.371146,2.12
Z55B298,25.232303,51.381473,2.19
Z80B104,25.344337,51.217526,2.13
Z80B108,25.343362,51.210952,2.14
Z55B269,25.247813,51.365897,2.18
Z74B186,25.680621,51.50023,2.2
Z74B178,25.681489,51.520122,2.18
Z69B053,25.407869,51.503992,2.16
Z75B087,25.730852,51.551176,2.15
Z69B063,25.38284,51.507058,2.13
Z70B211,25.422011,51.429464,2.24
Z70B309,25.381855,51.466159,2.21
Z70B292,25.370001,51.453154,2.21
Z70B242,25.414669,51.482257,2.23
Z70B215,25.40959,51.427208,2.19
Z70B220,25.412516,51.434241,2.22
Z70B216,25.411062,51.430792,2.19
Z70B086,25.48741,51.414319,2.2
Z70B264,25.399882,51.432594,2.21
Z70B262,25.402983,51.439466,2.17
Z70B232,25.421165,51.464764,2.18
Z70B253,25.409992,51.457308,2.22
Z70B219,25.407683,51.436663,2.19
Z86B050,25.434497,50.885654,2.29
Z94B005,25.010627,51.479702,2.24
Z95B002,25.055542,51.439896,2.24
Z90B055,25.096385,51.575923,2.2
Z90B076,25.141781,51.587371,2.19
Z56B054,25.252018,51.485341,2.18
Z56B057,25.252565,51.47874,2.0
Z56B062,25.249814,51.474061,2.25
Z80B118,25.331035,51.218685,2.17
Z58B001,25.247879,51.477449,2.09
Z58B006,25.237048,51.483898,2.2
Z80B109,25.343855,51.214275,2.17
Z52B059,25.297789,51.448806,2.19
Z52B036,25.302358,51.459914,2.25
Z53B014,25.295862,51.42591,2.18
Z53B018,25.29992,51.420936,2.09
Z53B021,25.291873,51.420707,2.14
Z53B020,25.29596,51.420768,2.23
Z80B006,25.389393,51.267831,2.36
Z80B003,25.359134,51.272691,2.2
Z70B103,25.472667,51.46631,2.33
Z46B022,25.228692,51.537235,2.15
Z46B033,25.225147,51.544535,2.2
Z46B023,25.226349,51.537862,2.16
Z46B006,25.236629,51.535288,2.2
Z46B011,25.23169,51.540451,2.17
Z46B004,25.236869,51.539453,2.2
Z31B006,25.345722,51.470228,2.18
Z31B018,25.345138,51.476199,2.21
Z31B019,25.345831,51.478435,2.17
Z31B007,25.346018,51.467195,2.18
Z31B005,25.347251,51.46977,2.2
Z31B003,25.347973,51.473006,2.24
Z61B010,25.324324,51.539494,2.22
Z61B002,25.350374,51.523075,2.19
Z61B015,25.329087,51.53247,2.23
Z66B100,25.365784,51.540231,2.35
Z66B096,25.37125,51.539637,1.96
Z66B068,25.36773,51.560813,2.27
Z66B067,25.366474,51.560997,2.18
Z66B066,25.365325,51.560637,2.23
Z71B268,25.393093,51.418482,2.19
Z28B011,25.28355,51.561643,2.17
Z28B012,25.283529,51.564106,2.05
Z36B009,25.305855,51.477785,2.15
Z32B049,25.32955,51.476435,2.24
Z32B051,25.330486,51.479504,2.22
Z71B130,25.470583,51.399416,2.21
Z49B003,25.220112,51.597724,2.21
Z43B041,25.256423,51.497001,2.18
Z42B035,25.258642,51.549,2.23
Z42B018,25.259684,51.539609,2.23
Z42B029,25.25941,51.544139,2.24
Z42B014,25.260284,51.541536,2.18
Z32B053,25.329357,51.4825,2.18
Z26B036,25.268376,51.538954,2.26
Z26B037,25.268408,51.538478,2.23
Z73B048,25.734663,51.048821,2.21
Z63B026,25.318945,51.517197,2.1
Z63B020,25.322898,51.521226,2.21
Z63B021,25.32419,51.518388,2.2
Z55B169,25.233733,51.421442,2.2
Z55B165,25.239065,51.430404,2.19
Z55B188,25.245731,51.427392,2.25
Z55B150,25.232727,51.439992,2.25
Z57B064,25.186633,51.432958,2.19
Z57B062,25.186307,51.425708,2.24
Z38B053,25.281637,51.499944,2.09
Z38B052,25.281732,51.50167,2.12
Z39B078,25.272099,51.509,2.21
Z39B067,25.272682,51.505525,2.21
Z31B030,25.336585,51.465871,2.21
Z31B038,25.336577,51.475755,2.18
Z31B037,25.336911,51.47846,2.17
Z55B313,25.217059,51.361277,2.22
Z57B107,25.176245,51.42211,2.21
Z57B165,25.169659,51.437954,2.1
Z57B126,25.171824,51.436435,2.25
Z57B130,25.179387,51.441832,2.15
Z57B187,25.164243,51.443025,2.24
Z27B001,25.282674,51.551346,2.2
Z27B095,25.276841,51.549378,2.19
Z27B066,25.276164,51.540662,1.86
Z31B026,25.340068,51.467562,2.19
Z31B025,25.34091,51.469886,2.22
Z31B012,25.340135,51.46155,2.22
Z31B022,25.341876,51.474919,2.24
Z31B014,25.342087,51.465703,2.15
Z36B012,25.304843,51.479784,2.16
Z31B004,25.346545,51.473781,2.14
Z27B088,25.276854,51.551148,2.24
Z31B027,25.338724,51.464495,2.2
Z31B036,25.33714,51.480944,2.2
Z31B031,25.337601,51.468324,2.19
Z31B032,25.338832,51.470641,2.18
Z31B033,25.339018,51.474367,2.2
Z31B035,25.340002,51.478774,2.19
